status,old_path,path,reason
R100,task_queue_web/build/font-cache.mjs,tools/internal/experiment_console/web/build/font-cache.mjs,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/build/sites-vite-plugin.ts,tools/internal/experiment_console/web/build/sites-vite-plugin.ts,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/eslint.config.mjs,tools/internal/experiment_console/web/eslint.config.mjs,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/next.config.ts,tools/internal/experiment_console/web/next.config.ts,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/package-lock.json,tools/internal/experiment_console/web/package-lock.json,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/package.json,tools/internal/experiment_console/web/package.json,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/postcss.config.mjs,tools/internal/experiment_console/web/postcss.config.mjs,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/public/favicon.svg,tools/internal/experiment_console/web/public/favicon.svg,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/public/review-paper.png,tools/internal/experiment_console/web/public/review-paper.png,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/tests/rendered-html.test.mjs,tools/internal/experiment_console/web/tests/rendered-html.test.mjs,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/tsconfig.json,tools/internal/experiment_console/web/tsconfig.json,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/vite.config.ts,tools/internal/experiment_console/web/vite.config.ts,Move optional maintainer console below internal tools; hide queue navigation from reviewers
R100,task_queue_web/worker/index.ts,tools/internal/experiment_console/web/worker/index.ts,Move optional maintainer console below internal tools; hide queue navigation from reviewers
A,,docs/reports/official_evaluation/changed_files.csv,Complete public file-change inventory
