model,metric,paper,historical_reaggregated_full_precision,historical_display,historical_display_difference,new_official_evaluator,new_difference,status
Qwen3-VL-4B,Physics,71.24,71.2401055408971,71.24,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-4B,Statistics,55.46,55.46448087431694,55.46,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-4B,Mathematics,62.04,62.04081632653061,62.04,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-4B,Electrical Engineering and Systems Science,64.06,64.0625,64.06,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-4B,Economics,67.88,67.88321167883211,67.88,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-4B,Quantitative Biology,80.7,80.70175438596492,80.70,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-4B,Quantitative Finance,69.77,69.76744186046511,69.77,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-8B,All,68.32,68.31818181818181,68.32,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-8B,Computer Science,67.11,67.11409395973155,67.11,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-8B,Physics,70.98,70.97625329815304,70.98,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-8B,Statistics,66.12,66.12021857923497,66.12,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-8B,Mathematics,62.45,62.44897959183673,62.45,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-8B,Electrical Engineering and Systems Science,71.88,71.875,71.88,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-8B,Economics,70.8,70.8029197080292,70.80,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-8B,Quantitative Biology,76.32,76.3157894736842,76.32,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Qwen3-VL-8B,Quantitative Finance,73.26,73.25581395348837,73.26,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Claude Sonnet 5,All,69.32,68.04545454545455,68.05,-1.269999999999996,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Claude Sonnet 5,Computer Science,69.93,69.93288590604027,69.93,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Claude Sonnet 5,Physics,71.5,71.50395778364116,71.50,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Claude Sonnet 5,Statistics,59.84,59.83606557377049,59.84,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Claude Sonnet 5,Mathematics,60.0,60.0,60.00,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Claude Sonnet 5,Electrical Engineering and Systems Science,76.56,76.5625,76.56,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Claude Sonnet 5,Economics,66.42,66.42335766423358,66.42,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Claude Sonnet 5,Quantitative Biology,77.19,77.19298245614036,77.19,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
Claude Sonnet 5,Quantitative Finance,72.09,72.09302325581395,72.09,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
DeepSeek-V4-Flash,All,79.45,79.45454545454545,79.45,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
DeepSeek-V4-Flash,Computer Science,80.54,80.53691275167785,80.54,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
DeepSeek-V4-Flash,Physics,77.57,77.57255936675462,77.57,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
DeepSeek-V4-Flash,Statistics,83.06,83.06010928961749,83.06,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
DeepSeek-V4-Flash,Mathematics,71.84,71.83673469387755,71.84,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
DeepSeek-V4-Flash,Electrical Engineering and Systems Science,79.69,79.6875,79.69,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
DeepSeek-V4-Flash,Economics,83.94,83.94160583941606,83.94,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
DeepSeek-V4-Flash,Quantitative Biology,78.95,78.94736842105263,78.95,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
DeepSeek-V4-Flash,Quantitative Finance,77.91,77.90697674418605,77.91,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
GLM-4.6V,All,80.95,80.95454545454545,80.95,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
GLM-4.6V,Computer Science,80.67,80.67114093959732,80.67,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
GLM-4.6V,Physics,82.59,82.58575197889182,82.59,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
GLM-4.6V,Statistics,80.05,80.05464480874316,80.05,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
GLM-4.6V,Mathematics,74.29,74.28571428571429,74.29,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
GLM-4.6V,Electrical Engineering and Systems Science,85.16,85.15625,85.16,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
GLM-4.6V,Economics,86.86,86.86131386861314,86.86,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
GLM-4.6V,Quantitative Biology,82.46,82.45614035087719,82.46,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
GLM-4.6V,Quantitative Finance,81.4,81.3953488372093,81.40,0.0,,,UNRESOLVED: see baseline audit and paper/history protocol differences
