path,format,characters,review_scope
data/qa/3.reasoning/rel__reasoning__refreshed__batch01__n100__claude_hard__v1.json,.json,865907,历史/审计：保留原始记录
data/qa/3.reasoning/rel__reasoning__refreshed__batch01__n100__v1.json,.json,652443,历史/审计：保留原始记录
data/qa/3.reasoning/work__reasoning__historical_clean__batch00__n100.json,.json,414364,历史/审计：保留原始记录
data/qa/4.cross_pdf/README.md,.md,458,历史/审计：保留原始记录
data/qa/4.cross_pdf/challenge/rel__cross_pdf__challenge__batch01__n400__v1.json,.json,1904648,历史/审计：保留原始记录
data/qa/4.cross_pdf/hard_expansion/README.md,.md,612,历史/审计：保留原始记录
data/qa/4.cross_pdf/hard_expansion/hard_cross_pdf_strict_dual_review_final_400_ledger.json,.json,1420694,历史/审计：保留原始记录
data/qa/4.cross_pdf/hard_expansion/rel__cross_pdf__strict_dual_review__batch02__n400__v1.json,.json,4093935,历史/审计：保留原始记录
data/qa/5.human_reviewed/rel__human_reviewed__authority__batch01__n983.json,.json,471571,历史/审计：保留原始记录
data/qa/6.review/README.md,.md,502,历史/审计：保留原始记录
data/qa/6.review/cross_pdf/manual_review_decisions.json,.json,20221,历史/审计：保留原始记录
data/qa/6.review/final_2200_modalities/work__cross_pdf__modality_api_audit__n800__v1.json,.json,1613774,历史/审计：保留原始记录
data/qa/6.review/final_2200_modalities/work__single_pdf__modality_api_audit__n1400__v1.json,.json,1988499,历史/审计：保留原始记录
data/qa/7.final_2200/cross_pdf_qa.json,.json,6188751,历史/审计：保留原始记录
data/qa/7.final_2200/ordinary_qa.json,.json,3834166,历史/审计：保留原始记录
data/qa/7.final_2200/reasoning_qa.json,.json,1801045,历史/审计：保留原始记录
data/qa/7.final_2200/rel__collection__final_2200__manifest.json,.json,1730,历史/审计：保留原始记录
data/qa/7.final_2200/unanswerable_qa.json,.json,698736,历史/审计：保留原始记录
data/qa/README.md,.md,5635,历史/审计：保留原始记录
data/results/evaluations/single_pdf_1200/inputs/work__single_pdf__evidence_ablation__batch01__n676.json,.json,3415238,全文扫描；疑点按当前数据/代码复核
data/results/evaluations/single_pdf_1200/inputs/work__single_pdf__ordinary_unanswerable__batch01__n1200.json,.json,4472265,全文扫描；疑点按当前数据/代码复核
deploy/nginx/pku.chenzijian.com.conf,.conf,2346,全文扫描；疑点按当前数据/代码复核
deploy/systemd/pku-data-manager-api.service,.service,469,全文扫描；疑点按当前数据/代码复核
deploy/systemd/pku-task-queue-api.service,.service,441,全文扫描；疑点按当前数据/代码复核
deploy/systemd/pku-task-queue-daemon.service,.service,460,全文扫描；疑点按当前数据/代码复核
deploy/systemd/pku-task-queue-web.service,.service,653,全文扫描；疑点按当前数据/代码复核
deploy/systemd/pku-web-health.service,.service,305,全文扫描；疑点按当前数据/代码复核
deploy/systemd/pku-web-health.timer,.timer,154,全文扫描；疑点按当前数据/代码复核
deploy/systemd/pku-web-tunnel.service,.service,491,全文扫描；疑点按当前数据/代码复核
docs/current/ARCHITECTURE.md,.md,17705,全文扫描；疑点按当前数据/代码复核
docs/current/CURRENT_STATUS.md,.md,2051,全文扫描；疑点按当前数据/代码复核
docs/current/DATASET_CATALOG.md,.md,6041,全文扫描；疑点按当前数据/代码复核
docs/current/GETTING_STARTED.md,.md,7429,全文扫描；疑点按当前数据/代码复核
docs/current/MANUAL_REVIEW_GUIDE.md,.md,20679,全文扫描；疑点按当前数据/代码复核
docs/current/PROJECT_INVENTORY.md,.md,24549,全文扫描；疑点按当前数据/代码复核
docs/current/README.md,.md,1696,全文扫描；疑点按当前数据/代码复核
docs/current/WEB_CONSOLE.md,.md,6364,全文扫描；疑点按当前数据/代码复核
docs/reports/CROSS_PDF_EVIDENCE_AUDIT.md,.md,16127,全文扫描；疑点按当前数据/代码复核
docs/reports/README.md,.md,308,全文扫描；疑点按当前数据/代码复核
environment.yml,.yml,113,全文扫描；疑点按当前数据/代码复核
provider_config.example.json,.json,452,全文扫描；疑点按当前数据/代码复核
pyproject.toml,.toml,842,全文扫描；疑点按当前数据/代码复核
requirements.txt,.txt,712,全文扫描；疑点按当前数据/代码复核
schemas/final_2200_qa.schema.json,.json,1635,全文扫描；疑点按当前数据/代码复核
schemas/single_pdf_qa.schema.json,.json,3269,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/01_download_arxiv_papers.ipynb,.ipynb,43254,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/02_download_by_category.ipynb,.ipynb,49278,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/03_audit_pdf_pages.ipynb,.ipynb,39348,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/04_convert_excel_to_json.ipynb,.ipynb,3566,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/05_validate_and_clean_json.ipynb,.ipynb,21326,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/06_build_statistics_report.ipynb,.ipynb,23058,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/README.md,.md,2894,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/arxiv_download_backend.py,.py,2425,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/prompts/01_arxiv_question_generation.txt,.txt,8312,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/prompts/02_balanced_sampling.txt,.txt,8549,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/prompts/03_unanswerable_questions.txt,.txt,10074,全文扫描；疑点按当前数据/代码复核
scripts/dataset_construction/phase1_paper_acquisition/prompts/04_other_questions.txt,.txt,10600,全文扫描；疑点按当前数据/代码复核
scripts/generate_dataset_catalog.py,.py,2034,全文扫描；疑点按当前数据/代码复核
src/pku_qa/__init__.py,.py,723,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/adaptive_gpu_pool.py,.py,22219,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/calculate_evidence_weighted_accuracy.py,.py,13598,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/durable_work_queue.py,.py,20480,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/eval_framework.py,.py,30450,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/evaluation_protocol.py,.py,28874,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/gpu_reservation.py,.py,11217,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/model_paths.py,.py,2502,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/progress_logging.py,.py,716,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/qa_scoring.py,.py,6109,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/run_eval_pipeline.py,.py,15254,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/run_hard_eval.py,.py,31498,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/run_inference.py,.py,55852,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/run_judge.py,.py,34510,全文扫描；疑点按当前数据/代码复核
src/pku_qa/evaluation/run_report.py,.py,39264,全文扫描；疑点按当前数据/代码复核
src/pku_qa/pdf_assets.py,.py,5798,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/review/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/review/data_manager_api.py,.py,26457,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/review/data_review_manager.py,.py,115130,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/task_queue/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/task_queue/task_queue_api.py,.py,17782,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/task_queue/task_queue_cli.py,.py,12983,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/task_queue/task_queue_daemon.py,.py,25472,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/task_queue/task_queue_manager.py,.py,65113,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/task_queue/task_queue_runner.py,.py,5026,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/task_queue/task_queue_supervisor.py,.py,1753,全文扫描；疑点按当前数据/代码复核
src/pku_qa/services/task_queue/task_queue_tui.py,.py,5293,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/apply_hard_cross_pdf_review_fixes.py,.py,7211,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/audit_reasoning_pdf_dependency.py,.py,22218,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/build_final_2200_modality_review.py,.py,5013,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/filter_reasoning_closed_book.py,.py,7344,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/finalize_cross_pdf_manual_audit.py,.py,9119,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/finalize_cross_pdf_semantic_reaudit.py,.py,22043,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/normalize_human_reviewed_evidence_pages.py,.py,4839,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/reclassify_cross_pdf_modalities_api.py,.py,23754,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/restore_reasoning_qa_evidence.py,.py,17260,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/sync_human_reviewed_qa.py,.py,17399,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/cleaning/validate_single_pdf_qa_schema.py,.py,1506,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_cross_pdf_challenge_v3.py,.py,61495,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_cross_pdf_claude_fix_rereview.py,.py,4293,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_cross_pdf_gemini_fix_rereview.py,.py,7272,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_cross_pdf_quality_v2.py,.py,50869,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_cross_pdf_review_calibration.py,.py,5569,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_cross_pdf_review_complement.py,.py,4964,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_cross_pdf_second_stage_fix_rereview.py,.py,4480,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_fulltext_cross_pdf_qa_api.py,.py,17621,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_global_cross_pdf_bundle_plan.py,.py,21644,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_hard_cross_pdf_qa.py,.py,88452,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/build_single_pdf_reasoning_qa.py,.py,95234,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/prepare_cross_pdf_manual_audit.py,.py,8999,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/wait_and_build_hard_cross_pdf_qa.py,.py,5521,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/generation/wait_and_build_single_pdf_reasoning_qa.py,.py,5591,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/operations/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/operations/bootstrap_data_review_service.py,.py,2145,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/operations/check_web_stack.py,.py,4019,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/operations/flatten_pdf_assets.py,.py,10315,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/operations/inspect_final_2200.py,.py,3533,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/operations/migrate_final_2200_review_state.py,.py,16262,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/build_final_2200_classification.py,.py,17784,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/diagnose_external_answer_accuracy.py,.py,8603,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/prepare_hard_expansion_pilot_eval.py,.py,5448,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/report_cross_pdf_eval.py,.py,25805,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/report_hard_expansion_pilot_eval.py,.py,2735,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/report_reasoning_qa_eval.py,.py,46681,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/report_single_pdf_challenge_eval.py,.py,57793,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/run_claude_pdf_selection.py,.py,10968,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/run_final_2200_evaluation.py,.py,4005,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/run_single_pdf_challenge_gpu_queue.py,.py,30989,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/summarize_cross_pdf_dual_reviews.py,.py,11824,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/summarize_cross_pdf_quality_v2.py,.py,6918,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/reporting/summarize_cross_pdf_review_calibration.py,.py,12196,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/review/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/review/finalize_hard_cross_pdf_pool_set.py,.py,7826,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/review/finalize_hard_cross_pdf_qa.py,.py,12523,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/review/review_cross_pdf_qa_api.py,.py,49459,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/review/review_single_pdf_reasoning_qa_api.py,.py,40880,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/review/wait_and_review_single_pdf_reasoning_qa.py,.py,4209,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/selection/build_hard_benchmark_selection_pool.py,.py,8976,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/selection/final_2200_contract.py,.py,9184,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/selection/normalize_final_2200_release.py,.py,10946,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/selection/single_pdf_release_views.py,.py,7515,全文扫描；疑点按当前数据/代码复核
src/pku_qa/workflows/selection/sync_final_2200_manifest.py,.py,5439,全文扫描；疑点按当前数据/代码复核
task_queue_web/.openai/hosting.json,.json,31,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/admin/users/page.tsx,.tsx,27469,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/api/[...path]/route.ts,.ts,3001,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/components/ConsoleNav.tsx,.tsx,2008,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/components/LoginScreen.tsx,.tsx,8532,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/data-api/[...path]/route.ts,.ts,2277,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/data/page.tsx,.tsx,41783,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/globals.css,.css,54762,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/guide/page.tsx,.tsx,16555,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/layout.tsx,.tsx,855,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/lib/auth.ts,.ts,2433,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/login/page.tsx,.tsx,120,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/page.tsx,.tsx,2667,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/profile/page.tsx,.tsx,8717,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/queue/page.tsx,.tsx,35682,全文扫描；疑点按当前数据/代码复核
task_queue_web/app/register/page.tsx,.tsx,146,全文扫描；疑点按当前数据/代码复核
task_queue_web/eslint.config.mjs,.mjs,465,全文扫描；疑点按当前数据/代码复核
task_queue_web/next.config.ts,.ts,133,全文扫描；疑点按当前数据/代码复核
task_queue_web/package-lock.json,.json,347172,全文扫描；疑点按当前数据/代码复核
task_queue_web/package.json,.json,1338,全文扫描；疑点按当前数据/代码复核
task_queue_web/postcss.config.mjs,.mjs,94,全文扫描；疑点按当前数据/代码复核
task_queue_web/tests/rendered-html.test.mjs,.mjs,7805,全文扫描；疑点按当前数据/代码复核
task_queue_web/tsconfig.json,.json,666,全文扫描；疑点按当前数据/代码复核
task_queue_web/vite.config.ts,.ts,1697,全文扫描；疑点按当前数据/代码复核
task_queue_web/worker/index.ts,.ts,1726,全文扫描；疑点按当前数据/代码复核
tests/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
tests/conftest.py,.py,436,全文扫描；疑点按当前数据/代码复核
tests/integration/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
tests/integration/test_adaptive_gpu_queue.py,.py,47213,全文扫描；疑点按当前数据/代码复核
tests/integration/test_apply_hard_cross_pdf_review_fixes.py,.py,1502,全文扫描；疑点按当前数据/代码复核
tests/integration/test_audit_reasoning_pdf_dependency.py,.py,5215,全文扫描；疑点按当前数据/代码复核
tests/integration/test_build_cross_pdf_gemini_fix_rereview.py,.py,1933,全文扫描；疑点按当前数据/代码复核
tests/integration/test_build_global_cross_pdf_bundle_plan.py,.py,7616,全文扫描；疑点按当前数据/代码复核
tests/integration/test_build_hard_benchmark_selection_pool.py,.py,1902,全文扫描；疑点按当前数据/代码复核
tests/integration/test_build_hard_cross_pdf_qa.py,.py,26943,全文扫描；疑点按当前数据/代码复核
tests/integration/test_build_single_pdf_reasoning_qa.py,.py,35315,全文扫描；疑点按当前数据/代码复核
tests/integration/test_cross_pdf_challenge_v3.py,.py,4696,全文扫描；疑点按当前数据/代码复核
tests/integration/test_cross_pdf_eval_report.py,.py,8454,全文扫描；疑点按当前数据/代码复核
tests/integration/test_cross_pdf_quality_v2.py,.py,2898,全文扫描；疑点按当前数据/代码复核
tests/integration/test_filter_reasoning_closed_book.py,.py,2186,全文扫描；疑点按当前数据/代码复核
tests/integration/test_finalize_cross_pdf_semantic_reaudit.py,.py,3398,全文扫描；疑点按当前数据/代码复核
tests/integration/test_finalize_hard_cross_pdf_pool_set.py,.py,2334,全文扫描；疑点按当前数据/代码复核
tests/integration/test_finalize_hard_cross_pdf_qa.py,.py,2278,全文扫描；疑点按当前数据/代码复核
tests/integration/test_migrate_final_2200_review_state.py,.py,1916,全文扫描；疑点按当前数据/代码复核
tests/integration/test_normalize_human_reviewed_evidence_pages.py,.py,874,全文扫描；疑点按当前数据/代码复核
tests/integration/test_prepare_hard_expansion_pilot_eval.py,.py,1618,全文扫描；疑点按当前数据/代码复核
tests/integration/test_reasoning_qa_eval_report.py,.py,15806,全文扫描；疑点按当前数据/代码复核
tests/integration/test_report_hard_expansion_pilot_eval.py,.py,1383,全文扫描；疑点按当前数据/代码复核
tests/integration/test_restore_reasoning_qa_evidence.py,.py,8514,全文扫描；疑点按当前数据/代码复核
tests/integration/test_review_cross_pdf_qa_api.py,.py,14017,全文扫描；疑点按当前数据/代码复核
tests/integration/test_review_single_pdf_reasoning_qa_api.py,.py,9471,全文扫描；疑点按当前数据/代码复核
tests/integration/test_run_report.py,.py,9473,全文扫描；疑点按当前数据/代码复核
tests/integration/test_single_pdf_challenge_v2.py,.py,30061,全文扫描；疑点按当前数据/代码复核
tests/integration/test_sync_human_reviewed_qa.py,.py,6117,全文扫描；疑点按当前数据/代码复核
tests/integration/test_task_queue.py,.py,42509,全文扫描；疑点按当前数据/代码复核
tests/integration/test_wait_and_build_hard_cross_pdf_qa.py,.py,1714,全文扫描；疑点按当前数据/代码复核
tests/integration/test_wait_and_build_single_pdf_reasoning_qa.py,.py,1517,全文扫描；疑点按当前数据/代码复核
tests/system/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
tests/system/test_project_docs.py,.py,1554,全文扫描；疑点按当前数据/代码复核
tests/system/test_web_stack_health.py,.py,563,全文扫描；疑点按当前数据/代码复核
tests/unit/__init__.py,.py,0,全文扫描；疑点按当前数据/代码复核
tests/unit/test_build_final_2200_classification.py,.py,2062,全文扫描；疑点按当前数据/代码复核
tests/unit/test_build_final_2200_modality_review.py,.py,691,全文扫描；疑点按当前数据/代码复核
tests/unit/test_data_review_manager.py,.py,33791,全文扫描；疑点按当前数据/代码复核
tests/unit/test_diagnose_external_answer_accuracy.py,.py,1305,全文扫描；疑点按当前数据/代码复核
tests/unit/test_evaluation_protocol.py,.py,6496,全文扫描；疑点按当前数据/代码复核
tests/unit/test_evidence_weighted_accuracy.py,.py,8802,全文扫描；疑点按当前数据/代码复核
tests/unit/test_final_2200_contract.py,.py,2368,全文扫描；疑点按当前数据/代码复核
tests/unit/test_hard_eval_report_commands.py,.py,1977,全文扫描；疑点按当前数据/代码复核
tests/unit/test_inspect_final_2200.py,.py,2495,全文扫描；疑点按当前数据/代码复核
tests/unit/test_judge_rules.py,.py,14237,全文扫描；疑点按当前数据/代码复核
tests/unit/test_model_paths.py,.py,3484,全文扫描；疑点按当前数据/代码复核
tests/unit/test_normalize_final_2200_release.py,.py,1138,全文扫描；疑点按当前数据/代码复核
tests/unit/test_pdf_assets.py,.py,2060,全文扫描；疑点按当前数据/代码复核
tests/unit/test_progress_logging.py,.py,702,全文扫描；疑点按当前数据/代码复核
tests/unit/test_protocol_fingerprints.py,.py,4551,全文扫描；疑点按当前数据/代码复核
tests/unit/test_qa_scoring.py,.py,3373,全文扫描；疑点按当前数据/代码复核
tests/unit/test_reclassify_cross_pdf_modalities_api.py,.py,3579,全文扫描；疑点按当前数据/代码复核
tests/unit/test_run_claude_pdf_selection.py,.py,912,全文扫描；疑点按当前数据/代码复核
tests/unit/test_run_final_2200_evaluation.py,.py,1628,全文扫描；疑点按当前数据/代码复核
tests/unit/test_sync_final_2200_manifest.py,.py,1752,全文扫描；疑点按当前数据/代码复核
tests/unit/test_task_queue_api.py,.py,1766,全文扫描；疑点按当前数据/代码复核
论文/ICLR2027_SciDoc/fancyhdr.sty,.sty,20521,全文扫描；疑点按当前数据/代码复核
论文/ICLR2027_SciDoc/iclr2027_conference.bib,.bib,629,全文扫描；疑点按当前数据/代码复核
论文/ICLR2027_SciDoc/iclr2027_conference.sty,.sty,9025,全文扫描；疑点按当前数据/代码复核
论文/ICLR2027_SciDoc/iclr2027_conference.tex,.tex,19732,全文扫描；疑点按当前数据/代码复核
论文/ICLR2027_SciDoc/math_commands.tex,.tex,12284,全文扫描；疑点按当前数据/代码复核
论文/ICLR2027_SciDoc/natbib.sty,.sty,45154,全文扫描；疑点按当前数据/代码复核
论文/写作材料/01_参考论文写作模式总结.txt,.txt,4310,全文扫描；疑点按当前数据/代码复核
论文/写作材料/03_数据集写作思路提示备选方案.txt,.txt,7670,全文扫描；疑点按当前数据/代码复核
论文/写作材料/AIGC检测记录/PaperNex_AIGC降重版_14.2pct.txt,.txt,7102,全文扫描；疑点按当前数据/代码复核
论文/写作材料/AIGC检测记录/PaperNex_自然表达版_24.1pct.txt,.txt,7695,全文扫描；疑点按当前数据/代码复核
论文/写作材料/AIGC检测记录/ZeroGPT_前后对照.json,.json,20415,全文扫描；疑点按当前数据/代码复核
论文/写作材料/AIGC检测记录/ZeroGPT对照检测.py,.py,2038,全文扫描；疑点按当前数据/代码复核
论文/写作材料/AIGC检测记录/本地AIGC检测.py,.py,4345,全文扫描；疑点按当前数据/代码复核
论文/写作材料/AIGC检测记录/本地模型_AIGC降重版.json,.json,59391,全文扫描；疑点按当前数据/代码复核
论文/写作材料/AIGC检测记录/本地模型_自然表达版_基线.json,.json,58754,全文扫描；疑点按当前数据/代码复核
