model,qa_id,task,status,category,historical_correct,reference_only_revision_rescored,differences,source,raw_sha256
MiniCPM-V 2.6,QA0192,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,d498216afc30a74cc63d1e3d584c4bf575d9ae5e61e10bb873d4efc523b214dd
MiniCPM-V 2.6,QA0193,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,1f2478db2312a11d6b32ce1fb4b96043b6f58d4fddb2843f68aa27378f372495
MiniCPM-V 2.6,QA0194,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,7e1ec6d792bbdae4d2f9d5226c750bb93056261ba4ef96609a6599a86c31d833
MiniCPM-V 2.6,QA1027,Unanswerable,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,b82df893ec2b4895dfad2c5c5ac6a9c3008ef7da566d3d07030c3fc1bcd6dce6
MiniCPM-V 2.6,QA0195,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,ea6f680a4a64067ad5590032948595879ba3be415d150e76cb127bd0fc1e6502
MiniCPM-V 2.6,QA0196,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,c79a8385a89f64567b846295970d0ef8c54451ac29e57fd07ca4720345dddc84
MiniCPM-V 2.6,QA0197,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,117fc6153632aefb27117b71c9842fa53acf2f4c3747a0863b521f7e0782c0bf
MiniCPM-V 2.6,QA0198,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,330b5e5ef31cfa43332060a5f14e368905d8cee31b63383ef6fd73a2a5ab9b65
MiniCPM-V 2.6,QA0199,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,e2151230e3aa7e4791c58150e72c9fe175e76ce821f236cb77f83ed0922b4728
MiniCPM-V 2.6,QA0200,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,b60c505b8300acd9cde23f5f74539d6f677de50158fa26db29dc417b425f8ddd
MiniCPM-V 2.6,QA0201,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,2e9f6b3eff204f14a76fd0816b878d413888d7ba5bbbca9eaaebfb73c99a21e4
MiniCPM-V 2.6,QA0202,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,cee2e7e3983233f6fd07f20586bb3669b1879c6527d16a67e71f5d922be21518
MiniCPM-V 2.6,QA0205,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,d277b5024010bd9cd447d7b5f0549415a2f00f683473a33622bf20c02658dc6b
MiniCPM-V 2.6,QA0203,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,c48979f881c5ed03c424d0b42b1c43d356c1c56cf911311ce2f06d6248312e79
MiniCPM-V 2.6,QA0204,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,f16cadf2da8f7e1ba052543f4d7e1153eb05f7c6462a9d629dc153054f1603ff
MiniCPM-V 2.6,QA0206,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,d0e7a27d548924837b6492a2f67bab30f786c898f46d25d73d93a0deb1419515
MiniCPM-V 2.6,QA0025,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,610a0751ea16092b3a425719f4d29858852b442d4bb367da23d462b2061f514e
MiniCPM-V 2.6,QA0026,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,d918db67c683d2683d9eb0239ed02476d7efdc75f24220a9716d675d68aba901
MiniCPM-V 2.6,QA0027,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,72514d21d32786610ac2260b3b3bed7f54b206855a56fa985317d8f8ef8cc1d2
MiniCPM-V 2.6,QA1013,Unanswerable,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,2bd1c2e1319486dcf2fe8c8a8372c2baebc300c56af27404da67800faf2407de
MiniCPM-V 2.6,QA0207,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,8e73627113e8ccccdbb0b17d9f1dcdce3eb62e1b8484071bcafaf124093444be
MiniCPM-V 2.6,QA0208,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,29de8a56a7c681856210ac28c3a0c4542b2da80d4feff53bb9d494a253348357
MiniCPM-V 2.6,QA0209,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,6ae789eecbcf8833e0de41bc027313083fc846279b9c7e342f093ea9ab914eec
MiniCPM-V 2.6,QA0210,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,d4bf28825e7cdd624072fd5b6a818527d43ee31169288a6a0d67dcf263a1b62d
MiniCPM-V 2.6,QA0211,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,5bb3fd8f3ee6d812fb35991936382410d8acb0462e5f97e22be936417c1c29f8
MiniCPM-V 2.6,QA0212,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,b4fbb0c9ea7dd8e7ed4744962091dc9b55b822f441e594230d8a1288d62c1d94
MiniCPM-V 2.6,QA0213,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,8a0bf10aaa90fd2b542d989a6c370a60676d5e5b3bf93a29aa9baae7470dfc62
MiniCPM-V 2.6,QA0214,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,62bc98afb87f0c6ea99421483b86ed67cc98cb633a5dc129d5227715d53bd96c
MiniCPM-V 2.6,QA0215,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,db624acf33529490e887a431a30aed454d2857b8108da335759ea9dbee3f679b
MiniCPM-V 2.6,QA0216,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,37f19792e37aa14b956eef0b3d301b3574349dd903ad99922014375de6fe0ae4
MiniCPM-V 2.6,QA1028,Unanswerable,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,3b66697b44243513db483e51c4b033d8ef0e3ab9cbc1a2963e5e12995a2cdbb2
MiniCPM-V 2.6,QA0217,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,d2aa0c3003e2af3dc55f81225c6ad768f6bd5e23da1690cf5f5ce22ff224d8a0
MiniCPM-V 2.6,QA0218,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,3556ea417a67ee2cf944966e4d019f964d913733ae9503f8327c43b1a076d31c
MiniCPM-V 2.6,QA0219,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,e83519d61133b6a9e55fae18ac46a774bf19345ed585e10008ca716a7c72537a
MiniCPM-V 2.6,QA0220,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,42c0d2bdec2f19c251f3f108116df2e9390885916b89be86cdf66061f1f58b44
MiniCPM-V 2.6,QA0221,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,92764dba186da929147cd4f5484481e8b53c063386d1a10147ac7e6b6cdb6eb0
MiniCPM-V 2.6,QA0222,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,7e4426694f71fbb4a8a8146fc414a3b538b1e476bd6fcd2d9b61ebb1f808d494
MiniCPM-V 2.6,QA0028,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,46507dc40aa086f3c41470e602a0038ca80821fae9397b6f27dd6315748e0ba6
MiniCPM-V 2.6,QA0029,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,7777f550e4680daf0318e8d166addaad541f6894b26e016fbf25907e1fadae7c
MiniCPM-V 2.6,QA0030,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,8db536166abba943ec407d907ea9239db0191d0136b861da979d74c81a1c4faa
MiniCPM-V 2.6,QA0223,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,3fbf26d44878c606e4981426c83d7eea8a6b8f2c18c6d5db3c224d8e2f426bc4
MiniCPM-V 2.6,QA0224,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,cc6e9296be63ef068f4e465daf8e1b4e5be59e7c8a404bfc63d7f06cbb6b56e8
MiniCPM-V 2.6,QA0225,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,f0ccb9e10417c600ad731a9c797e0248faa84e3bfe9b7bdccc9f7d32fd6b3d86
MiniCPM-V 2.6,QA0228,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,7aecfac881dab293734729228dcd86d7b2e971aac990b67eabfb1c1e0300ef2d
MiniCPM-V 2.6,QA0226,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,84cf692b7c8f4d0d8351e6ac85f50d6540aece0d40510edf87a57c2deb6d499f
MiniCPM-V 2.6,QA0227,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,bbdef20185d8a800b1884167775dc5d91c82cd2900f8b1be073b8141666c1bc6
MiniCPM-V 2.6,QA0229,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,96d2f742ffdc397852ca7376a00d60f8794a2ac5dbadcfe4a66121c2109f3f3d
MiniCPM-V 2.6,QA0230,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,0bd01abb136510c9e59b2f77333906e0e3550d26715915f55c19f1e3be9dc4ad
MiniCPM-V 2.6,QA0231,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,1541d315c035cba588c9cf01bb5d0b207d6fef11155e89f15542e8150dfde28e
MiniCPM-V 2.6,QA0232,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,13f55fdad9e88d44cf6f3ee8ef5636052b4762d14e36f0e3cf054cddf6c57b3f
MiniCPM-V 2.6,QA0233,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,fadd0e9abe816815203fe65660a98c4822baafb6c12fb56445ef1fb6330c42c7
MiniCPM-V 2.6,QA0234,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,624b72a20d004a4acc1d8cad6dd54bba3d3294ac15e2bc7b304304aba6c5b7f9
MiniCPM-V 2.6,QA0235,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,0dd26193e3ceb257ec444b3cec837890b61347417241b26eac7ad1a38ad90ac3
MiniCPM-V 2.6,QA0236,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,558b3d24025a60840fa11c752cefc75ca206084fa10f617c02de0b4275a4d3c7
MiniCPM-V 2.6,QA0237,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,a14e6246a6261df2f7b84f0dc9f7f01f8f790136859fe5d4690ff5586432bb4f
MiniCPM-V 2.6,QA0031,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,c0834d730fa1e19142409ca5ee42822b0f626e5f26e3229de3caa80f38c6bc64
MiniCPM-V 2.6,QA0032,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,31b8e1eb94dcd31ddf07df109dcb728ad9d1dbe40d6345457f0567f6769c6d72
MiniCPM-V 2.6,QA0033,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,5ab7ffdd5ea58aff8a85a10dbe023362a9d0116cc9d6b398c1097075abea8192
MiniCPM-V 2.6,QA0034,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,0051958c71065a6df1882060f842d9f3bd95a6542fb8ba7b772803d029586cae
MiniCPM-V 2.6,QA0238,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,d46174012665aed2025753661d2df8c87baaae7b4b99242efaf8d9c4af6424e1
MiniCPM-V 2.6,QA0239,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,cd5c969c89f3e7a3368c6add0bfe5a99cdf42b08994384fa8ffb73800a01d91a
MiniCPM-V 2.6,QA0240,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,35b3ec76bacadc98fbc1438e976cb777766436c7c8f176b509a99fe17ea641e6
MiniCPM-V 2.6,QA0243,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,4d0c8d26432dd48e01e2c6b53c70458dde33d51dd2eecab9c92a906910fa0122
MiniCPM-V 2.6,QA0241,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,e9852e9d59df098e4aaf1f2583680d0517c83d39230fa34f5cc210daf6ea3b46
MiniCPM-V 2.6,QA0242,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,4fcc21062378cc86438afa6dc045f57955d40927cbd9e496999448642554a4c2
MiniCPM-V 2.6,QA0244,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,ca867003f84405f8250d81d1eaa79e3f1cec523e1732b10f447375078777f70c
MiniCPM-V 2.6,QA0245,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,55210a350b73a73ff72bbfa5e4bf75373754d52d1eee56b415544b83bea6276c
MiniCPM-V 2.6,QA1029,Unanswerable,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,276ca248784f385db35e34fd98783ab901b594186f6d28e87692c3d15e29cc5c
MiniCPM-V 2.6,QA0246,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,f4f3251c389be5eef6648a81056d704145e4a9918b266eb198220fe525a7fd72
MiniCPM-V 2.6,QA0247,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,bb0ea272add0cdbc2586828490370ca61826dc0a3dd7b599e53c3d7da4bbbab0
MiniCPM-V 2.6,QA0248,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,fa694c885cccc5c7f03781c81b309cd014d9c103b4f552da56054148beec7ae8
MiniCPM-V 2.6,QA0249,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,70a64385235e1d1da89c37a298896cd988a702961c3097ae17a2804f5be3785a
MiniCPM-V 2.6,QA0250,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,efac93b98d953ac088d25a40e9d41fd31ea752e914093aaa32ca4d36650e75b6
MiniCPM-V 2.6,QA0251,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,ee5b4d380934ebc16153567c459a4e237cb7dfa4f280f898cf9f60e9750018e2
MiniCPM-V 2.6,QA0252,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,986a462f40d4d8312ddc2014023b180c8fe12111768f97c9eea99f8896544e63
MiniCPM-V 2.6,QA0255,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,7eda2250763fdf1bc6875b85671edb4d078bc4c501bcbde6a1361d3917b8333c
MiniCPM-V 2.6,QA0253,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,b1cfb195facb8476d9e63cb2dfed7ad4e44ac60187fd504097f843f327d8f56b
MiniCPM-V 2.6,QA0254,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,1d421b8bedd629458194dc7e8275907a339ac61bbe57fc56013250909fc0b1f3
MiniCPM-V 2.6,QA1030,Unanswerable,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,9ae041596d75bcc38b5c6e45f4a6c12fd97b85c29078679e87a4f773c9727e15
MiniCPM-V 2.6,QA1031,Unanswerable,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,95ad626e0eb45dd903173707199ae509682b5daa38aa8a7488b6e664ba2421ed
MiniCPM-V 2.6,QA0256,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,e6fc4ef32c63e36d16ff2c8edf62869f8c3cb07c401f2e17f16886a6d67ce82d
MiniCPM-V 2.6,QA0257,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,5a0d864e8b61adf4b204b3179b5ce4ac58689ee03e21c9daf21eaa4f25e8b7b6
MiniCPM-V 2.6,QA0258,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,4a940e1176ff14ce1780f7b2ea5b2cfeffefab87cb5f07738ac1adbba926cd8d
MiniCPM-V 2.6,QA0259,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,c072c71998574691027d762038f404c3331c33c0962599f714fab126c1255397
MiniCPM-V 2.6,QA1032,Unanswerable,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,94c35dd1ed31bf098e5ea4d9d4e1af026f59f06ee34d0b4605017ce74373f97e
MiniCPM-V 2.6,QA0260,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,b11bee93fba9991830732908ca8880e85b2020d32f901ecb8306ad15bc0d56db
MiniCPM-V 2.6,QA0261,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,8bf084679e0c515900923e65f4ce8f0f95d6e650ef4c3662e1d33c346ad89ec5
MiniCPM-V 2.6,QA0262,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,d6561f15a5935532e81da23298a82824a4c908f70f39071259bb37185e752188
MiniCPM-V 2.6,QA0263,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,5616235a34375dccfc31b5f5cead01160b056e22ec50e75216475413c3821b51
MiniCPM-V 2.6,QA0264,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,ecc8e92de6043277f04ccd93ab8c8aaf55d69eb8664ea001a403c7498c443eb1
MiniCPM-V 2.6,QA0265,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,cb23f301cfa13b8a3ba0273fae6593db0ee20074fae8f9e4398c885f134fe7b9
MiniCPM-V 2.6,QA0266,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,dfb4c341b1fe95c437a42b49ec204a092772d50869b02d0fc36e1ae7da90a918
MiniCPM-V 2.6,QA0267,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,656674b38cfab75e8f6472d5ba0f2396efef0cc5f97ff9374ea9d8eda22b561a
MiniCPM-V 2.6,QA0268,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,db62052f1efaaf3f66ccb21d30d70f16afcf13e8555df73b74ac332006a726bf
MiniCPM-V 2.6,QA0269,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,880a42c135526c4a91d8103b23ead4a0b06e8221f402ba3d5dd22cf8bf5ac395
MiniCPM-V 2.6,QA0270,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,9ee6c4a637e80e49faf95f08142168585257820b0867b0687255f76a9f024492
MiniCPM-V 2.6,QA0271,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,aa435601e1b2594cc4a333955f50119eb18696046550f13176dd1cdff6e976a6
MiniCPM-V 2.6,QA0272,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,3713560646613aa95d4fa922f8679e18b81a5ab31a60a7d080363fb44038ad5c
MiniCPM-V 2.6,QA0273,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,f6a82e738a2701ed818eb209f16d2da04b4d4748027372deba48f37e494e64e0
MiniCPM-V 2.6,QA0274,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,6e2602a5025ac01c00467730da524f594b085e0315a6c1ca552385c39c69923c
MiniCPM-V 2.6,QA0275,General,illegal,invalid_json_or_extra_text,True,False,,MiniCPM-V-2.6/ordinary1190.json,43c829e79b2f67ae012b9385fb69a3ce66b87cdbb37fdb4d79928d66d77a796f
MiniCPM-V 2.6,QA0276,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,88334eaf05c8300a57bd45e88b8d1c846266892da7c8d522f51a83a415655e8d
MiniCPM-V 2.6,QA0035,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,944db60ab0a846d09989cec1ccf6184e692a1405ebf6b63d517129617c8972d2
MiniCPM-V 2.6,QA0036,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,b098a236ca932163ca316bf58c3df898a42c807fd35b9af8b05dd1f5ac8b2dc6
MiniCPM-V 2.6,QA0037,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,99aa4387b5ba425bfc6a309742a66e197e46deffba80f82d355667bcd046aed6
MiniCPM-V 2.6,QA0277,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,c73f041700b967068a0c9dbc0b2de6e5d95f606eca8b6a7922a57523545eb8ec
MiniCPM-V 2.6,QA0278,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,e68acc2345da4b09c11dc43350a8819c65eb492bfe7813d46a8a0acea6c88de2
MiniCPM-V 2.6,QA0279,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,b7949cb4142fe6714faad1a2b5546a9aaa82ed3dc4a6e8304fd5632ff6bbb5c5
MiniCPM-V 2.6,QA0280,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,008d7e78eb9bc162e552d57736b6732bed06ae3a09ae5190d07d31ebf25a68dc
MiniCPM-V 2.6,QA0281,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,aa31583ff8b01dd331ab07a0ec76da6bf7df21ba584147887c953a0efdf5bda0
MiniCPM-V 2.6,QA0282,General,illegal,invalid_json_or_extra_text,False,False,,MiniCPM-V-2.6/ordinary1190.json,0ab37f33ad03749e9398c070783cce4e4aff6850b97fd2385fa19d3175c887a9
