model,dataset,same_bytes,copy,original
Gemma3-27B-IT,reasoning_hard100,True,data/results/Gemma3-27B-IT/reasoning_hard100.json,sxz/models/Gemma-3-27B-IT/output/strict_min_full_v1/reasoning_hard100__prompt-v1__dpi144__run-v1.json
Mistral-Small3.1-24B,ordinary1190,True,data/results/Mistral-Small3.1-24B/ordinary1190.json,sxz/models/Mistral-Small-3.1-24B-Instruct-2503/output/context_fit_fullpages_v1/ordinary1190__prompt-v1__dpi144__run-v1.json
Mistral-Small3.1-24B,cross_old400,True,data/results/Mistral-Small3.1-24B/cross_old400.json,sxz/models/Mistral-Small-3.1-24B-Instruct-2503/output/context_fit_fullpages_v1/cross_old400__prompt-v1__dpi144__run-v1.json
Mistral-Small3.1-24B,cross_hard400,True,data/results/Mistral-Small3.1-24B/cross_hard400.json,sxz/models/Mistral-Small-3.1-24B-Instruct-2503/output/context_fit_fullpages_v1/cross_hard400__prompt-v1__dpi144__run-v1.json
Mistral-Small3.1-24B,reasoning_old100,True,data/results/Mistral-Small3.1-24B/reasoning_old100.json,sxz/models/Mistral-Small-3.1-24B-Instruct-2503/output/context_fit_fullpages_v1/reasoning_old100__prompt-v1__dpi144__run-v1.json
Mistral-Small3.1-24B,reasoning_hard100,True,data/results/Mistral-Small3.1-24B/reasoning_hard100.json,sxz/models/Mistral-Small-3.1-24B-Instruct-2503/output/context_fit_fullpages_v1/reasoning_hard100__prompt-v1__dpi144__run-v1.json
Qwen3-VL-4B,ordinary1190,True,data/results/Qwen3-VL-4B/ordinary1190.json,sxz/models/Qwen3-VL-4B/output/parsed_result/ordinary1190__prompt-v1__dpi144__run-v1.json
Qwen3-VL-4B,cross_old400,True,data/results/Qwen3-VL-4B/cross_old400.json,sxz/models/Qwen3-VL-4B/output/strict_min_full_v1/cross_old400__strict-min-full-v1.json
Qwen3-VL-4B,cross_hard400,True,data/results/Qwen3-VL-4B/cross_hard400.json,sxz/models/Qwen3-VL-4B/output/strict_min_full_v1/cross_hard400__strict-min-full-v1.json
Qwen3-VL-4B,reasoning_old100,True,data/results/Qwen3-VL-4B/reasoning_old100.json,sxz/models/Qwen3-VL-4B/output/parsed_result/reasoning_old100__prompt-v1__dpi144__run-v1.json
Qwen3-VL-4B,reasoning_hard100,True,data/results/Qwen3-VL-4B/reasoning_hard100.json,sxz/models/Qwen3-VL-4B/output/parsed_result/reasoning_hard100__prompt-v1__dpi144__run-v1.json
Qwen3-VL-8B,ordinary1190,True,data/results/Qwen3-VL-8B/ordinary1190.json,sxz/models/Qwen3-VL-8B/output/parsed_result/ordinary1190__prompt-v1__dpi144__run-v1.json
Qwen3-VL-8B,cross_old400,True,data/results/Qwen3-VL-8B/cross_old400.json,sxz/models/Qwen3-VL-8B/output/strict_min_full_v1/cross_old400__strict-min-full-v1.json
Qwen3-VL-8B,cross_hard400,True,data/results/Qwen3-VL-8B/cross_hard400.json,sxz/models/Qwen3-VL-8B/output/strict_min_full_v1/cross_hard400__strict-min-full-v1.json
Qwen3-VL-8B,reasoning_old100,True,data/results/Qwen3-VL-8B/reasoning_old100.json,sxz/models/Qwen3-VL-8B/output/parsed_result/reasoning_old100__prompt-v1__dpi144__run-v1.json
Qwen3-VL-8B,reasoning_hard100,True,data/results/Qwen3-VL-8B/reasoning_hard100.json,sxz/models/Qwen3-VL-8B/output/parsed_result/reasoning_hard100__prompt-v1__dpi144__run-v1.json
Claude-sonncet-5,ordinary1190,True,data/results/Claude-sonncet-5/ordinary1190.json,sxz/models/Claude-5/output/raw_result/challenge1190_claude-sonnet-5_remaining_after_balanced_run_wholepdf_dpi144_v1_result.json
Claude-sonncet-5,cross_old400,True,data/results/Claude-sonncet-5/cross_old400.json,sxz/models/Claude-5/output/raw_result/qa_cross_pdf_challenge400_claude-sonnet-5_wholemerged_dynamiccompress_dpi144_answerable_v1_result.json
Claude-sonncet-5,cross_hard400,True,data/results/Claude-sonncet-5/cross_hard400.json,sxz/models/Claude-5/output/raw_result/hard_cross_pdf_strict_dual_review_final_400_claude-sonnet-5_wholemerged_dynamiccompress_dpi144_v1_result.json
Claude-sonncet-5,reasoning_old100,True,data/results/Claude-sonncet-5/reasoning_old100.json,sxz/models/Claude-5/output/raw_result/reasoning_qa_100_claude-sonnet-5_refreshed_wholepdf_dynamiccompress_dpi144_v2_result.json
Claude-sonncet-5,reasoning_hard100,True,data/results/Claude-sonncet-5/reasoning_hard100.json,sxz/models/Claude-5/output/raw_result/reasoning_qa_incremental_100_209_claude-sonnet-5_hard_wholepdf_dynamiccompress_dpi144_v1_result.json
DeepSeek-V4-flash-Vision-Exp,ordinary1190,True,data/results/DeepSeek-V4-flash-Vision-Exp/ordinary1190.json,sxz/models/DeepSeek-V4-Flash-Vision-Exp/output/raw_result_base64_nothinking_v1/ordinary1190__prompt-v1__dpi144__run-v1.json
DeepSeek-V4-flash-Vision-Exp,cross_old400,True,data/results/DeepSeek-V4-flash-Vision-Exp/cross_old400.json,sxz/models/DeepSeek-V4-Flash-Vision-Exp/output/raw_result_base64_nothinking_v1/cross_old400__prompt-v1__dpi144__run-v1.json
DeepSeek-V4-flash-Vision-Exp,cross_hard400,True,data/results/DeepSeek-V4-flash-Vision-Exp/cross_hard400.json,sxz/models/DeepSeek-V4-Flash-Vision-Exp/output/raw_result_base64_nothinking_v1/cross_hard400__prompt-v1__dpi144__run-v1.json
DeepSeek-V4-flash-Vision-Exp,reasoning_old100,True,data/results/DeepSeek-V4-flash-Vision-Exp/reasoning_old100.json,sxz/models/DeepSeek-V4-Flash-Vision-Exp/output/raw_result_base64_nothinking_v1/reasoning_old100__prompt-v1__dpi144__run-v1.json
DeepSeek-V4-flash-Vision-Exp,reasoning_hard100,True,data/results/DeepSeek-V4-flash-Vision-Exp/reasoning_hard100.json,sxz/models/DeepSeek-V4-Flash-Vision-Exp/output/raw_result_base64_nothinking_v1/reasoning_hard100__prompt-v1__dpi144__run-v1.json
GLM-4.6V,ordinary1190,True,data/results/GLM-4.6V/ordinary1190.json,sxz/models/GLM-4.6V/output/raw_result_base64_nothinking_v1/ordinary1190__prompt-v1__dpi144__run-v1.json
GLM-4.6V,cross_old400,True,data/results/GLM-4.6V/cross_old400.json,sxz/models/GLM-4.6V/output/raw_result_base64_nothinking_v1/cross_old400__prompt-v1__dpi144__run-v1.json
GLM-4.6V,cross_hard400,True,data/results/GLM-4.6V/cross_hard400.json,sxz/models/GLM-4.6V/output/raw_result_base64_nothinking_v1/cross_hard400__prompt-v1__dpi144__run-v1.json
GLM-4.6V,reasoning_old100,True,data/results/GLM-4.6V/reasoning_old100.json,sxz/models/GLM-4.6V/output/raw_result_base64_nothinking_v1/reasoning_old100__prompt-v1__dpi144__run-v1.json
GLM-4.6V,reasoning_hard100,True,data/results/GLM-4.6V/reasoning_hard100.json,sxz/models/GLM-4.6V/output/raw_result_base64_nothinking_v1/reasoning_hard100__prompt-v1__dpi144__run-v1.json
